Grammar Point,Meaning,Formation,Example (Japanese),Example (Romaji),Example (English),JLPT Level
Verb てやまない (Verb te yamanai),"Used with certain emotional/mental verbs to show a strong, unceasing emotion: 'can't stop', 'never cease to'.",Verb-て form + やまない (common with certain verbs),私は母を思ってやまない。,Watashi wa haha o omotte yamanai.,I can't stop thinking of my mother.,JLPT N1
Verb ないではおかない (~ nai de wa okanai),"Means 'cannot help but do', 'will definitely do', or 'is bound to happen'.",Verb-ない form + ではおかない,彼女は毎回遅刻をしては、先生に怒られないではおかない。,"Kanojo wa maikai chikoku o shite wa, sensei ni okorarenaide wa okanai.","Every time she's late, she inevitably gets scolded by the teacher.",JLPT N1
Verb ないではすまない (Verb nai dewa sumanai),"'Cannot end without doing', 'must do'—an unavoidable moral or social necessity.",Verb-ない form + ではすまない,失敗をしたら、謝らないではすまない。,"Shippai o shitara, ayamaranai de wa sumanai.","If you make a mistake, you have to apologize—there’s no way around it.",JLPT N1
Verb ないまでも (Verb nai made mo),"'Even if not to the extent of...', 'although not completely...'.",Verb-ない form + までも,全てを理解しないまでも、基本的なことは分かってほしい。,"Subete o rikai shinai made mo, kihonteki na koto wa wakatte hoshii.","Even if you don't understand everything, I'd like you at least to grasp the basics.",JLPT N1
Verb ないものだろうか (Verb nai mono darou ka),"Expressing hope or wonder if something can be done: 'Isn't there a way...?', 'Can't we...?'",Verb-negative (often negative potential) + ものだろうか,もっと時間があれば、ここに来られないものだろうか。,"Motto jikan ga areba, koko ni korarenai mono darou ka.","If I had more time, wouldn't it be possible to come here?",JLPT N1
Verb ないものでもない (Verb nai mono demo nai),"Expresses the idea that it's not entirely impossible or non-existent: 'It's not that I don't...', 'It's not that there aren't...'",Verb-negative form (ない form) + ものでもない,旅行に行きたいと思わないものでもない。,Ryokou ni ikitai to omowanai mono demo nai.,It's not that I never want to travel.,JLPT N1
Verb の ない Noun (~ no nai ~),Used to modify a noun with a negative verb form; 'a Noun without (Verb)'.,Verb in negative form + の + Noun,笑いのない人生は、つまらない。,"Warai no nai jinsei wa, tsumaranai.",A life without laughter is boring.,JLPT N1
Verb ば きりがない (〜ba kiri ga nai),"Indicates there's no end once you start listing, doing, or saying something: 'If one starts to..., there will be no end.'",Verb-conditional form (ば) + きりがない,悪口を言い始めればきりがない。,Waruguchi o iihajimereba kiri ga nai.,"Once I start speaking ill of someone, there's no end.",JLPT N1
Verb もしないで (~ mo shinai de),Means 'without even doing'.,Verb (masu stem) + もしないで,調べもしないで、答えを書きました。,"Shirabe mo shinai de, kotae o kakimashita.",I wrote the answer without even investigating.,JLPT N1
Verb やしない (~ yashinai),"Expresses a strong denial or refusal: 'I would never...', 'No way I would...'.",Verb (masu stem) + やしない,こんな時に泣きやしない。,Konna toki ni naki-yashinai.,I would never cry at a time like this.,JLPT N1
Verb よう (~ you / ~ you ni),Expresses 'the way/manner of doing something' or 'in order to / so that / try to'.,Verb (dictionary or negative form) + ように (する / etc.),この問題を解くように努力します。,Kono mondai o toku you ni doryoku shimasu.,I will try to solve this problem.,JLPT N1
Verb ようか Verbるまいか (Verb you ka Verb ru mai ka),Expresses indecision: 'Should I do it or not?'.,Verb-volitional form + か + Verb-volitional negative form (まい) + か,彼に話そうか話すまいか、本当に迷っている。,"Kare ni hanasou ka hanasu mai ka, hontou ni mayotte iru.",I'm really unsure whether to talk to him or not.,JLPT N1
Verb ようが Verb るまいが (Verb you ga Verb ru mai ga),"Expresses 'whether or not', 'no matter if something happens or not'.",Verb-volitional form + が + Verb-negative volitional form + が,彼が来ようが来るまいが、パーティーは始まります。,"Kare ga koyou ga kurumai ga, paatii wa hajimarimasu.","Whether he comes or not, the party will start.",JLPT N1
Verb ようがない (〜you ga nai),"Expresses 'no way to do something,' 'impossible to do'.",Verb (masu stem) + ようがない,電車が混んでいて、動きようがない。,"Densha ga konde ite, ugoki you ga nai.",The train is so crowded that I can't move.,JLPT N1
Verb ようと Verbる まいと (Verb you to Verb ru mai to),"This structure indicates that regardless of whether one does (verb) or not, the outcome/attitude remains unchanged.",Verb-volitional + と + Verb-negative volitional (～まい) + と,あなたが来ようと来るまいと、パーティーは予定通りに始まります。,"Anata ga koyou to kuru mai to, paatii wa yotei doori ni hajimarimasu.","Whether you come or not, the party will start as scheduled.",JLPT N1
Verb ようにも (〜you ni mo),"Used to express 'even though one wants to do something, one can't for some reason'.","Verb-volitional form + にも + (reason/potential negative, etc.)",もう少し速く走ろうにも、足が痛くて無理だ。,"Mou sukoshi hayaku hashirou ni mo, ashi ga itakute muri da.","I'd like to run a bit faster, but I can’t because my leg hurts.",JLPT N1
Verb ようにも Verb れない (〜you ni mo 〜renai),Expresses the inability to do something even if one wants/tries.,Verb-volitional form + にも + (potential negative form / reason),彼を信じようにも信じられない証拠がある。,Kare o shinjiyou ni mo shinjirarenai shouko ga aru.,"Even if I want to believe him, there's evidence that prevents me from doing so.",JLPT N1
Verb ようもない (~you mo nai),Expresses 'it's impossible to do something'.,Verb-ます stem + ようもない,この問題は解きようもない。,Kono mondai wa toki you mo nai.,It's impossible to solve this problem.,JLPT N1
Verbる がままに (〜ga mama ni),Expresses 'letting something happen as it is'; 'just as something does'.,Verb-dictionary form + がままに,窓を開けるがままにしておいたら、風が部屋に入ってきました。,"Mado o akeru ga mama ni shite oitara, kaze ga heya ni haitte kimashita.","I left the window open as it was, and the wind came into the room.",JLPT N1
Verbる が早いか (verb-ru ga hayai ka),Expresses 'as soon as...' or 'the moment when...'.,Verb-dictionary form + が早いか,部屋に入るが早いか、彼はテレビをつけた。,"Heya ni hairu ga hayai ka, kare wa terebi o tsuketa.",No sooner had he entered the room than he turned on the TV.,JLPT N1
Verbる くらいなら (〜ru kurai nara),"Expresses preference to avoid something: 'rather than...', 'if it comes to doing X, I'd rather...'.",Verb-dictionary form + くらいなら,一人で行くくらいなら、家にいるほうがましです。,"Hitori de iku kurai nara, ie ni iru hou ga mashi desu.",I'd rather stay at home than go alone.,JLPT N1
Verbる こと なし に (Verb-ru koto nashi ni),Used to express 'without doing something'.,Verb-dictionary form + ことなしに,試験を勉強することなしに、合格しました。,"Shiken o benkyou suru koto nashi ni, goukaku shimashita.",I passed the exam without studying.,JLPT N1
Verbる ことのないように (Verb-ru koto no nai you ni),"Expresses the desire or effort to prevent something: 'so as not to...', 'to avoid...'.",Verb-dictionary form + ことのないように,車をなくすことのないように、駐車場で必ずロックしましょう。,"Kuruma o nakusu koto no nai you ni, chuushajou de kanarazu rokku shimashou.",Lock your car in the parking lot so you don't lose it.,JLPT N1
Verbる ときりがない (verb-ru to kiri ga nai),Used to indicate that something can go on endlessly or without limits.,Verb-casual + と + きりがない,彼の悪口を言うときりがない。,Kare no waruguchi o iu to kiri ga nai.,"If we start talking about his faults, there's no end.",JLPT N1
Verbる ともなく Verb (Verb-ru tomonaku Verb),"Used to express 'without a particular intention', 'unconsciously', or 'before one knows it'.",Verb-dictionary form + ともなく + Verb,遠くを見るともなく窓の外を眺めた。,Tooku o miru tomonaku mado no soto o nagameta.,"I found myself gazing out the window, not really looking at anything in particular.",JLPT N1
Verbる ともなしに Verb (Verb-ru tomonashi ni Verb),Expresses doing something unintentionally or without conscious thought.,Verb-dictionary form + ともなしに + Verb,本を読むともなしに眠ってしまった。,Hon o yomu tomonashi ni nemutte shimatta.,I ended up falling asleep while reading the book without really meaning to.,JLPT N1
Verbる なり (Verb-ru nari),Expresses 'as soon as' or 'the moment'.,Verb-dictionary form + なり,家に帰るなり、すぐに寝た。,"Ie ni kaeru nari, sugu ni neta.","As soon as I got home, I went to sleep.",JLPT N1
Verbる にとどまらず～も (Verb-ru ni todomarazu ~ mo),"Expresses 'not only… but also', 'not limited to…'.",Noun / Verb-dictionary form + にとどまらず + も/ほかのこと,彼は仕事にとどまらず、ボランティア活動もしている。,"Kare wa shigoto ni todomarazu, borantia katsudou mo shite iru.",He does not just work; he also does volunteer activities.,JLPT N1
Verbる にはあたらない (Verb-ru ni wa ataranai),"Used to say 'there is no need to...', 'it’s not necessary to...'.",Verb-dictionary form + にはあたらない,パニックに陥るにはあたらない。,Panikku ni ochiiru ni wa ataranai.,There’s no need to panic.,JLPT N1
Verbる にも (Verb-ru ni mo),"Indicates that doing the verb is impossible or difficult, even if one wants to.",Verb-dictionary form + にも + (reason it can't be done),明日雨が降ったとしても、傘を持つにも荷物が多すぎる。,"Ashita ame ga futta to shite mo, kasa o motsu ni mo nimotsu ga oosugiru.","Even if it rains tomorrow, I have too much luggage to bring an umbrella.",JLPT N1
Verbる にも Verb れない (Verb-ru ni mo Verb-re nai),"Expresses: 'Even if I try/want to do something, I cannot.'",Verb-volitional + にも + Verb-potential negative,彼を理解しようにも理解できない。,Kare o rikai shiyou ni mo rikai dekinai.,"Even if I try to understand him, I can't.",JLPT N1
Verbる べからざる Noun (Verb-ru bekara zaru Noun),"Used to express what should not be done; 'must not', 'should not'.",Verb-dictionary form + べからざる + Noun,人を裏切るべからざる行為だ。,Hito o uragiru bekara zaru koui da.,Betraying others is an act that must not be done.,JLPT N1
Verbる べからず (〜ru bekara zu),Expresses the idea of 'must not do' or 'should not do'.,Verb-ru + べからず,嘘をつくべからず。,Uso o tsuku bekara zu.,One must not tell lies.,JLPT N1
Verbる べく (Verb-ru beku),"Expresses the meaning of 'in order to', 'for the purpose of'.",Verb-dictionary form + べく,成功するべく、日々努力しています。,"Seikou suru beku, hibi doryoku shite imasu.","In order to succeed, I am working hard every day.",JLPT N1
